step,mark_price,index_price,funding_rate,cum_funding,insurance_fund,liquidations,positions_alive,insolvent,iota_violated,leverage_violated
1,50049.99999999999,50000.0,0.0009999999999998545,0.0009999999999998545,100000.0,0,40,False,False,False
2,50049.99999999999,50000.0,0.0009999999999998545,0.001999999999999709,100000.0,0,40,False,False,False
3,50049.99999999999,50000.0,0.0009999999999998545,0.0029999999999995638,100000.0,0,40,False,False,False
4,50049.99999999999,50000.0,0.0009999999999998545,0.003999999999999418,100000.0,0,40,False,False,False
5,50049.99999999999,50000.0,0.0009999999999998545,0.004999999999999272,100000.0,0,40,False,False,False
6,50049.99999999999,50000.0,0.0009999999999998545,0.005999999999999127,100000.0,0,40,False,False,False
7,50049.99999999999,50000.0,0.0009999999999998545,0.006999999999998981,100000.0,0,40,False,False,False
8,50049.99999999999,50000.0,0.0009999999999998545,0.007999999999998836,100000.0,0,40,False,False,False
9,50049.99999999999,50000.0,0.0009999999999998545,0.008999999999998691,100000.0,0,40,False,False,False
10,50049.99999999999,50000.0,0.0009999999999998545,0.009999999999998547,100000.0,0,40,False,False,False
11,50049.99999999999,50000.0,0.0009999999999998545,0.010999999999998402,100000.0,0,40,False,False,False
12,50049.99999999999,50000.0,0.0009999999999998545,0.011999999999998257,100000.0,0,40,False,False,False
13,50049.99999999999,50000.0,0.0009999999999998545,0.012999999999998112,100000.0,0,40,False,False,False
14,50049.99999999999,50000.0,0.0009999999999998545,0.013999999999997967,100000.0,0,40,False,False,False
15,50049.99999999999,50000.0,0.0009999999999998545,0.014999999999997822,100000.0,0,40,False,False,False
16,50049.99999999999,50000.0,0.0009999999999998545,0.015999999999997676,100000.0,0,40,False,False,False
17,50049.99999999999,50000.0,0.0009999999999998545,0.01699999999999753,100000.0,0,40,False,False,False
18,50049.99999999999,50000.0,0.0009999999999998545,0.017999999999997386,100000.0,0,40,False,False,False
19,50049.99999999999,50000.0,0.0009999999999998545,0.01899999999999724,100000.0,0,40,False,False,False
20,50049.99999999999,50000.0,0.0009999999999998545,0.019999999999997096,100000.0,0,40,False,False,False
21,43333.333333333336,50000.0,-0.0075,0.012499999999997097,100000.0,0,40,False,False,False
22,30000.0,36666.66666666667,-0.0075,0.004999999999997097,100000.0,0,40,False,False,False
23,10000.0,16666.666666666664,-0.0075,-0.0025000000000029027,100000.0,0,40,False,False,False
24,30029.999999999996,30000.0,0.0009999999999998788,-0.0015000000000030239,100000.0,0,40,False,False,False
25,30290.677083333332,30260.416666666668,0.0009999999999999198,-0.0005000000000031041,100000.0,0,40,False,False,False
26,30551.35416666666,30520.833333333332,0.000999999999999841,0.000499999999996737,100000.0,0,40,False,False,False
27,30812.031249999996,30781.25,0.0009999999999998818,0.0014999999999966188,100000.0,0,40,False,False,False
28,31072.708333333332,31041.666666666668,0.0009999999999999217,0.0024999999999965406,100000.0,0,40,False,False,False
29,31333.38541666666,31302.083333333332,0.000999999999999845,0.0034999999999963853,100000.0,0,40,False,False,False
30,31594.062499999996,31562.5,0.0009999999999998847,0.00449999999999627,100000.0,0,40,False,False,False
31,31854.739583333332,31822.916666666668,0.0009999999999999237,0.005499999999996194,100000.0,0,40,False,False,False
32,32115.41666666666,32083.333333333332,0.0009999999999998489,0.006499999999996043,100000.0,0,40,False,False,False
33,32376.093749999996,32343.75,0.0009999999999998875,0.00749999999999593,100000.0,0,40,False,False,False
34,32636.770833333332,32604.166666666668,0.0009999999999999256,0.008499999999995856,100000.0,0,40,False,False,False
35,32897.447916666664,32864.583333333336,0.0009999999999998524,0.009499999999995708,100000.0,0,40,False,False,False
36,33158.12499999999,33125.0,0.0009999999999997804,0.010499999999995489,100000.0,0,40,False,False,False
37,33418.80208333333,33385.416666666664,0.0009999999999999274,0.011499999999995417,100000.0,0,40,False,False,False
38,33679.479166666664,33645.833333333336,0.0009999999999998558,0.012499999999995272,100000.0,0,40,False,False,False
39,33940.15624999999,33906.25,0.0009999999999997853,0.013499999999995058,100000.0,0,40,False,False,False
40,34200.83333333333,34166.666666666664,0.0009999999999999291,0.014499999999994987,100000.0,0,40,False,False,False
41,34461.510416666664,34427.083333333336,0.000999999999999859,0.015499999999994846,100000.0,0,40,False,False,False
42,34722.18749999999,34687.5,0.0009999999999997903,0.016499999999994637,100000.0,0,40,False,False,False
43,34982.86458333333,34947.916666666664,0.0009999999999999306,0.01749999999999457,100000.0,0,40,False,False,False
44,35243.541666666664,35208.333333333336,0.0009999999999998621,0.01849999999999443,100000.0,0,40,False,False,False
45,35504.21874999999,35468.75,0.0009999999999997949,0.019499999999994227,100000.0,0,40,False,False,False
46,35764.89583333333,35729.166666666664,0.0009999999999999321,0.02049999999999416,100000.0,0,40,False,False,False
47,36025.572916666664,35989.583333333336,0.0009999999999998651,0.021499999999994024,100000.0,0,40,False,False,False
48,36286.24999999999,36250.0,0.0009999999999997992,0.022499999999993824,100000.0,0,40,False,False,False
49,36546.92708333333,36510.416666666664,0.0009999999999999337,0.02349999999999376,100000.0,0,40,False,False,False
50,36807.604166666664,36770.833333333336,0.000999999999999868,0.024499999999993628,100000.0,0,40,False,False,False
51,37068.28124999999,37031.25,0.0009999999999998036,0.02549999999999343,100000.0,0,40,False,False,False
52,37328.95833333333,37291.666666666664,0.000999999999999935,0.026499999999993366,100000.0,0,40,False,False,False
53,37589.635416666664,37552.083333333336,0.0009999999999998708,0.027499999999993238,100000.0,0,40,False,False,False
54,37850.31249999999,37812.5,0.0009999999999998077,0.028499999999993045,100000.0,0,40,False,False,False
55,38110.98958333333,38072.916666666664,0.0009999999999999363,0.02949999999999298,100000.0,0,40,False,False,False
56,38371.66666666666,38333.33333333333,0.0009999999999998736,0.030499999999992852,100000.0,0,40,False,False,False
57,38632.34374999999,38593.75,0.0009999999999998114,0.031499999999992666,100000.0,0,40,False,False,False
58,38893.020833333336,38854.16666666667,0.0009999999999999374,0.032499999999992604,100000.0,0,40,False,False,False
59,39153.69791666666,39114.58333333333,0.0009999999999998762,0.03349999999999248,100000.0,0,40,False,False,False
60,39414.37499999999,39375.0,0.0009999999999998153,0.034499999999992294,100000.0,0,40,False,False,False
61,39675.052083333336,39635.41666666667,0.0009999999999999387,0.03549999999999223,100000.0,0,40,False,False,False
62,39935.72916666666,39895.83333333333,0.0009999999999998786,0.03649999999999211,100000.0,0,40,False,False,False
63,40196.40624999999,40156.25,0.0009999999999998187,0.03749999999999193,100000.0,0,40,False,False,False
64,40457.083333333336,40416.66666666667,0.00099999999999994,0.03849999999999187,100000.0,0,40,False,False,False
65,40717.76041666666,40677.08333333333,0.000999999999999881,0.03949999999999175,100000.0,0,40,False,False,False
66,40978.43749999999,40937.5,0.0009999999999998222,0.04049999999999157,100000.0,0,40,False,False,False
67,41239.114583333336,41197.91666666667,0.000999999999999941,0.04149999999999151,100000.0,0,40,False,False,False
68,41499.79166666666,41458.33333333333,0.0009999999999998831,0.04249999999999139,100000.0,0,40,False,False,False
69,41760.46874999999,41718.75,0.0009999999999998257,0.04349999999999122,100000.0,0,40,False,False,False
70,42021.145833333336,41979.16666666667,0.0009999999999999421,0.044499999999991165,100000.0,0,40,False,False,False
71,42281.82291666666,42239.58333333333,0.0009999999999998853,0.04549999999999105,100000.0,0,40,False,False,False
